# Time (s), DUT (V)
8.981796718687469521e-09,4.666229619594969985e-03
9.001800720288109466e-09,5.077597448186110286e-03
9.021804721888759338e-09,5.351020603289830153e-03
9.041808723489399283e-09,5.481604232369539573e-03
9.061812725090039229e-09,5.473366387238019770e-03
9.081816726690679174e-09,5.338700255136399897e-03
9.101820728291320774e-09,5.097345346872219837e-03
9.121824729891960720e-09,4.774937997238089780e-03
9.141828731492600665e-09,4.401235854413060138e-03
9.161832733093240611e-09,4.008129381517850330e-03
9.181836734693880556e-09,3.627564710000500021e-03
9.201840736294520501e-09,3.289505851481649805e-03
9.221844737895160447e-09,3.020060140614159831e-03
9.241848739495800392e-09,2.839879172323490127e-03
9.261852741096440338e-09,2.762929189308819828e-03
9.281856742697080283e-09,2.795701050539970041e-03
9.301860744297720229e-09,2.936902074864600112e-03
9.321864745898360174e-09,3.177641946583719974e-03
9.341868747499000120e-09,3.502094355172449911e-03
9.361872749099640065e-09,3.888586993793130119e-03
9.381876750700280011e-09,4.311046727795709785e-03
9.401880752300919956e-09,4.740705719373499577e-03
9.421884753901559902e-09,5.147959304165320230e-03
9.441888755502199847e-09,5.504258323265290125e-03
9.461892757102839793e-09,5.783917851744619677e-03
9.481896758703479738e-09,5.965730806729349807e-03
9.501900760304119684e-09,6.034288289085290059e-03
9.521904761904759629e-09,5.980927818034489571e-03
9.541908763505399575e-09,5.804254604242850210e-03
9.561912765106039520e-09,5.510208140501690090e-03
9.581916766706679465e-09,5.111674955434380128e-03
9.601920768307319411e-09,4.627676585271180316e-03
9.621924769907959356e-09,4.082187920281390298e-03
9.641928771508599302e-09,3.502663471073540029e-03
9.661932773109239247e-09,2.918366415556959866e-03
9.681936774709879193e-09,2.358606498499869926e-03
9.701940776310520793e-09,1.850997320684860019e-03
9.721944777911160738e-09,1.419814341097390062e-03
9.741948779511800684e-09,1.084315650613760108e-03
9.761952781112450555e-09,8.598573327465830040e-04
9.781956782713090501e-09,7.520103417574280262e-04
9.801960784313730446e-09,7.612152801112129609e-04
9.821964785914370392e-09,8.826774874513909977e-04
9.841968787515010337e-09,1.103560942660099893e-03
9.861972789115650283e-09,1.406491708477280046e-03
9.881976790716290228e-09,1.770072295009629927e-03
9.901980792316930174e-09,2.170361175905309841e-03
9.921984793917570119e-09,2.582446573749929905e-03
9.941988795518210065e-09,2.982048527126279856e-03
9.961992797118850010e-09,3.347047113780639988e-03
9.981996798719489955e-09,3.658840076234249825e-03
1.000200080032010012e-08,3.903445096865649794e-03
1.002200480192079962e-08,4.072279256620939605e-03
1.004200880352139987e-08,4.162569641590469632e-03
1.006201280512200011e-08,4.177373237210509765e-03
1.008201680672269961e-08,4.125209609187610420e-03
1.010202080832329985e-08,4.019334787169570253e-03
1.012202480992399935e-08,3.876707656045269828e-03
1.014202881152459959e-08,3.716719574046430021e-03
1.016203281312530075e-08,3.559772662421769891e-03
1.018203681472589934e-08,3.425801340253540207e-03
1.020204081632649958e-08,3.332834665980249911e-03
1.022204481792720073e-08,3.295693745089619923e-03
1.024204881952779932e-08,3.324909124971989812e-03
1.026205282112850048e-08,3.425928360962230117e-03
1.028205682272910072e-08,3.598664780908560155e-03
1.030206082432969930e-08,3.837416154746980165e-03
1.032206482593040046e-08,4.131157940897450115e-03
1.034206882753100070e-08,4.464191584201910104e-03
1.036207282913170020e-08,4.817105532950860004e-03
1.038207683073230045e-08,5.167986679666839583e-03
1.040208083233290069e-08,5.493804075032060127e-03
1.042208483393360019e-08,5.771876009422369572e-03
1.044208883553420043e-08,5.981326561060189978e-03
1.046209283713489993e-08,6.104438760670250104e-03
1.048209683873550017e-08,6.127818514800570382e-03
1.050210084033610041e-08,6.043295879427109871e-03
1.052210484193679992e-08,5.848507348272770183e-03
1.054210884353740016e-08,5.547123391033760217e-03
1.056211284513809966e-08,5.148708200916320143e-03
1.058211684673869990e-08,4.668222013272159930e-03
1.060212084833930014e-08,4.125198927713669833e-03
1.062212484993999964e-08,3.542653456982920029e-03
1.064212885154059988e-08,2.945785746054939858e-03
1.066213285314129939e-08,2.360567500689950051e-03
1.068213685474189963e-08,1.812297389950620011e-03
1.070214085634249987e-08,1.324215646274069964e-03
1.072214485794319937e-08,9.162627628331729756e-04
1.074214885954379961e-08,6.040569384932700271e-04
1.076215286114450077e-08,3.981499553959479956e-04
1.078215686274509935e-08,3.036025048676110265e-04
1.080216086434569960e-08,3.198988532451780089e-04
1.082216486594640075e-08,4.411985606610299856e-04
1.084216886754699934e-08,6.569011971077559978e-04
1.086217286914770050e-08,9.524800675614070048e-04
1.088217687074830074e-08,1.310524161880190002e-03
1.090218087234889932e-08,1.711914970616549951e-03
1.092218487394960048e-08,2.137057256556230186e-03
1.094218887555020072e-08,2.567080808843560068e-03
1.096219287715090022e-08,2.984933730432899873e-03
1.098219687875150046e-08,3.376296647836660170e-03
1.100220088035210070e-08,3.730260757511140186e-03
1.102220488195280021e-08,4.039729898670170113e-03
1.104220888355340045e-08,4.301526680651379837e-03
1.106221288515409995e-08,4.516203738445749745e-03
1.108221688675470019e-08,4.687582006126169917e-03
1.110222088835530043e-08,4.822057065475249607e-03
1.112222488995599993e-08,4.927730837116440360e-03
1.114222889155660018e-08,5.013438023527110217e-03
1.116223289315729968e-08,5.087743951002639958e-03
1.118223689475789992e-08,5.157992283885600056e-03
1.120224089635850016e-08,5.229477357750590173e-03
1.122224489795919966e-08,5.304806834329670040e-03
1.124224889955979990e-08,5.383506616219880386e-03
1.126225290116049941e-08,5.461902397088920155e-03
1.128225690276109965e-08,5.533292048609689609e-03
1.130226090436169989e-08,5.588401633312260058e-03
1.132226490596239939e-08,5.616096652136460393e-03
1.134226890756299963e-08,5.604300655267030300e-03
1.136227290916370079e-08,5.541056933420130184e-03
1.138227691076429937e-08,5.415656839741490348e-03
1.140228091236489961e-08,5.219751272870520355e-03
1.142228491396560077e-08,4.948360545845119710e-03
1.144228891556619936e-08,4.600702461309800172e-03
1.146229291716690051e-08,4.180768704301130075e-03
1.148229691876750076e-08,3.697595056066840108e-03
1.150230092036809934e-08,3.165190481135489974e-03
1.152230492196880050e-08,2.602112605689729883e-03
1.154230892356940074e-08,2.030701034195309986e-03
1.156231292517010024e-08,1.476003765115940043e-03
